ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
0	cosine	24.0	0.0	12.0	10.006404787333333	0.7494198620261449	0.0	12.0	11.107065893	8.90766774023	2.19939815277	1.24691066359	1.15961764115	0.8519551539622261	2.7301861885389218e-09	1.8019228844356883e-07
1	cosine	24.0	0.0	10.0	10.018679463001668	0.7279241690511292	24.0	10.0	11.0766576177	8.92147801679	2.15517960091	1.24157203513	1.15602918361	0.8918166834776337	5.127484166359002e-10	3.3841395497969414e-08
2	cosine	24.0	20.0	10.0	9.988880988060416	0.7150336292664058	20.0	34.0	11.0431247855	8.74721479275	2.29590999275	1.26247326116	1.13674162224	0.8571946154145236	2.2005380115565326e-09	1.4523550876273115e-07
3	cosine	24.0	22.0	8.0	10.012728706885834	0.7129487775307009	22.0	10.0	10.9717926645	8.96382396253	2.00796870197	1.22400804728	1.1614528444	0.8718475148233189	1.1958945737410912e-09	7.892904186691202e-08
4	cosine	24.0	20.0	8.0	10.005070227689584	0.7452707997729218	46.0	32.0	11.0391785402	8.9117939954	2.1273845448	1.238715633	1.15624763289	0.9104585121742245	2.2877456754690885e-10	1.5099121458095985e-08
5	cosine	24.0	20.0	6.0	10.0109275595625	0.719205503137821	20.0	6.0	11.0371295912	8.92414000431	2.11298958689	1.23677234847	1.15048818113	0.9158062130497047	1.8096151835629373e-10	1.1943460211515386e-08
6	cosine	24.0	18.0	6.0	9.973511400324583	0.7169747736468516	18.0	30.0	10.9915071398	8.98347196144	2.00803517836	1.22352551296	1.15046318619	0.9323972715037239	8.670932462453916e-11	5.722815425219585e-09
7	cosine	24.0	16.0	6.0	10.01136122332875	0.7103419646988322	40.0	30.0	11.0044581094	8.92483379442	2.07962431498	1.23301546705	1.1608591879	0.8865004142321141	6.435650605984674e-10	4.247529399949885e-08
8	cosine	24.0	16.0	4.0	10.035361741635418	0.7141769229168203	40.0	4.0	11.1174694426	8.79494774988	2.32252169272	1.26407452992	1.15470147791	0.8665809935152257	1.4906324414901108e-09	9.838174113834732e-08
9	cosine	24.0	14.0	4.0	10.026568364146668	0.7173543202609013	16.0	26.0	11.1881433903	9.05885914503	2.12928424527	1.23504993412	1.14796353833	0.8791739645277166	8.783668277999509e-10	5.797221063479676e-08
10	cosine	24.0	14.0	2.0	10.005218028999584	0.7170618623191902	14.0	2.0	11.1581634437	8.8588080465	2.2993553972	1.25955584376	1.1474258004	0.8812068330682252	8.059373168138957e-10	5.319186290971711e-08
11	cosine	24.0	12.0	0.0	9.9498339740475	0.7095647456322979	12.0	0.0	11.0894670572	8.86727381787	2.22219323933	1.25060613724	1.1487214651	0.9031455923977246	3.1457658888087423e-10	2.07620548661377e-08
12	cosine	24.0	12.0	0.0	10.01801427573375	0.6926906443518435	12.0	22.0	11.0868510627	8.88585454796	2.20099651474	1.24769666247	1.14308529109	0.8227034748562269	8.894175979506954e-09	5.87015614647459e-07
